FacilityZip,FacilityCity,FacilityState,FacilityLatitude,FacilityLongitude,Facility_ID,FacilityDistribution_Center_ID,FacilityWarehouse_ID,FacilityTotalOrdersShipped,FacilityTotalOrdersReturned,FacilityTotalOrdersDelayedDelivery
60651,Chicago,IL,41.901485,-87.74055,Warehouse_1,DistributionCenter_1,Warehouse_1,11,2,4
60697,Chicago,IL,41.811929,-87.68732,,DistributionCenter_1,Warehouse_1,10,2,1
60667,Chicago,IL,41.811929,-87.68732,,DistributionCenter_1,Warehouse_1,10,1,4
60694,Chicago,IL,41.811929,-87.68732,,DistributionCenter_1,Warehouse_1,7,0,1
60684,Chicago,IL,41.811929,-87.68732,,DistributionCenter_1,Warehouse_1,14,7,3
60644,Chicago,IL,41.881331,-87.75671,DistributionCenter_1,DistributionCenter_1,Warehouse_1,5,0,2
60668,Chicago,IL,41.811929,-87.68732,,DistributionCenter_1,Warehouse_1,8,2,1
60646,Chicago,IL,41.995331,-87.7601,,DistributionCenter_1,Warehouse_1,12,0,2
60654,Chicago,IL,41.888627,-87.63538,,DistributionCenter_2,Warehouse_1,13,1,1
60683,Chicago,IL,41.811929,-87.68732,,DistributionCenter_2,Warehouse_1,13,4,5
60616,Chicago,IL,41.8474,-87.63126,,DistributionCenter_2,Warehouse_1,16,2,4
60647,Chicago,IL,41.921126,-87.70085,DistributionCenter_2,DistributionCenter_2,Warehouse_1,15,1,1
60606,Chicago,IL,41.882582,-87.6376,,DistributionCenter_2,Warehouse_1,11,4,1
60623,Chicago,IL,41.850232,-87.718,,DistributionCenter_2,Warehouse_1,14,5,2
60663,Chicago,IL,41.811929,-87.68732,,DistributionCenter_2,Warehouse_1,15,6,2
60609,Chicago,IL,41.814283,-87.65282,,DistributionCenter_2,Warehouse_1,13,2,4
60660,Chicago,IL,41.990631,-87.6667,,DistributionCenter_2,Warehouse_1,13,2,4
60615,Chicago,IL,41.801525,-87.60215,,DistributionCenter_2,Warehouse_1,11,4,3
60622,Chicago,IL,41.900332,-87.66927,,DistributionCenter_2,Warehouse_1,13,2,1
60625,Chicago,IL,41.971614,-87.70256,Warehouse_2,DistributionCenter_3,Warehouse_2,8,2,1
60649,Chicago,IL,41.761734,-87.57072,,DistributionCenter_3,Warehouse_2,4,1,2
60673,Chicago,IL,41.811929,-87.68732,,DistributionCenter_3,Warehouse_2,14,1,2
60655,Chicago,IL,41.696283,-87.69912,,DistributionCenter_3,Warehouse_2,19,2,4
60641,Chicago,IL,41.946431,-87.74576,,DistributionCenter_3,Warehouse_2,11,2,2
60679,Chicago,IL,41.811929,-87.68732,,DistributionCenter_3,Warehouse_2,15,4,5
60636,Chicago,IL,41.776633,-87.66854,,DistributionCenter_3,Warehouse_2,15,3,3
60657,Chicago,IL,41.940832,-87.65852,DistributionCenter_3,DistributionCenter_3,Warehouse_2,10,3,1
60618,Chicago,IL,41.945681,-87.7048,,DistributionCenter_3,Warehouse_2,6,1,1
60677,Chicago,IL,41.811929,-87.68732,,DistributionCenter_3,Warehouse_2,9,1,1
60628,Chicago,IL,41.695434,-87.62255,,DistributionCenter_4,Warehouse_2,7,3,1
60608,Chicago,IL,41.850532,-87.6699,,DistributionCenter_4,Warehouse_2,16,4,3
60653,Chicago,IL,41.819833,-87.61269,,DistributionCenter_4,Warehouse_2,18,2,6
60685,Chicago,IL,41.811929,-87.68732,DistributionCenter_4,DistributionCenter_4,Warehouse_2,18,4,1
60614,Chicago,IL,41.922682,-87.65432,,DistributionCenter_4,Warehouse_2,9,3,4
60664,Chicago,IL,41.811929,-87.68732,,DistributionCenter_4,Warehouse_2,18,6,8
60607,Chicago,IL,41.875882,-87.65114,,DistributionCenter_4,Warehouse_2,9,3,1
60659,Chicago,IL,41.991381,-87.70378,,DistributionCenter_5,Warehouse_2,14,3,6
60665,Chicago,IL,41.811929,-87.68732,,DistributionCenter_5,Warehouse_2,13,3,1
60631,Chicago,IL,41.99623,-87.81091,DistributionCenter_5,DistributionCenter_5,Warehouse_2,14,3,0
60672,Chicago,IL,41.811929,-87.68732,,DistributionCenter_5,Warehouse_2,6,1,2
60701,Chicago,IL,41.811929,-87.68732,,DistributionCenter_5,Warehouse_2,12,0,1
60691,Chicago,IL,41.811929,-87.68732,,DistributionCenter_5,Warehouse_2,18,2,6
60699,Chicago,IL,41.811929,-87.68732,,DistributionCenter_5,Warehouse_2,7,1,2
60632,Chicago,IL,41.809299,-87.7105,,DistributionCenter_5,Warehouse_2,13,4,0
60603,Chicago,IL,41.880446,-87.63014,,DistributionCenter_5,Warehouse_2,15,2,1
60613,Chicago,IL,41.953256,-87.6629,,DistributionCenter_6,Warehouse_2,13,1,1
60629,Chicago,IL,41.777482,-87.71155,,DistributionCenter_6,Warehouse_2,11,3,2
60692,Chicago,IL,41.867532,-87.672553,,DistributionCenter_6,Warehouse_2,6,0,1
60639,Chicago,IL,41.921431,-87.75415,,DistributionCenter_6,Warehouse_2,8,1,2
60674,Chicago,IL,41.811929,-87.68732,,DistributionCenter_6,Warehouse_2,14,6,3
60650,Chicago,IL,41.818682,-87.743454,,DistributionCenter_6,Warehouse_2,9,1,0
60680,Chicago,IL,41.811929,-87.68732,,DistributionCenter_6,Warehouse_2,12,7,2
60640,Chicago,IL,41.973181,-87.6665,DistributionCenter_6,DistributionCenter_6,Warehouse_2,11,1,1
60690,Chicago,IL,41.811929,-87.68732,,DistributionCenter_6,Warehouse_2,8,1,3
60624,Chicago,IL,41.879365,-87.72199,,DistributionCenter_6,Warehouse_2,11,2,4
60620,Chicago,IL,41.740483,-87.65282,,DistributionCenter_6,Warehouse_2,14,2,4
60604,Chicago,IL,41.877589,-87.62818,,DistributionCenter_6,Warehouse_2,11,2,3
60652,Chicago,IL,41.7446,-87.71188,,DistributionCenter_6,Warehouse_2,10,2,2
60634,Chicago,IL,41.944454,-87.79654,,DistributionCenter_6,Warehouse_2,10,1,0
60602,Chicago,IL,41.882937,-87.62874,Warehouse_3,DistributionCenter_7,Warehouse_3,8,0,1
60621,Chicago,IL,41.776983,-87.6404,,DistributionCenter_7,Warehouse_3,13,4,3
60612,Chicago,IL,41.880682,-87.6877,,DistributionCenter_7,Warehouse_3,11,2,3
60675,Chicago,IL,41.811929,-87.68732,,DistributionCenter_7,Warehouse_3,13,4,0
60619,Chicago,IL,41.744834,-87.60444,DistributionCenter_7,DistributionCenter_7,Warehouse_3,14,2,1
60630,Chicago,IL,41.971044,-87.75869,,DistributionCenter_7,Warehouse_3,5,2,1
60687,Chicago,IL,41.811929,-87.68732,,DistributionCenter_7,Warehouse_3,13,2,3
60669,Chicago,IL,41.811929,-87.68732,,DistributionCenter_7,Warehouse_3,16,2,2
60617,Chicago,IL,41.719973,-87.5557,,DistributionCenter_8,Warehouse_3,10,1,0
60678,Chicago,IL,41.811929,-87.68732,,DistributionCenter_8,Warehouse_3,7,2,0
60671,Chicago,IL,41.811929,-87.68732,DistributionCenter_8,DistributionCenter_8,Warehouse_3,17,4,5
60681,Chicago,IL,41.811929,-87.68732,,DistributionCenter_8,Warehouse_3,19,7,3
60661,Chicago,IL,41.882082,-87.64461,,DistributionCenter_8,Warehouse_3,12,3,1
60610,Chicago,IL,41.898582,-87.6371,,DistributionCenter_9,Warehouse_3,10,3,2
60637,Chicago,IL,41.779384,-87.60544,,DistributionCenter_9,Warehouse_3,24,5,9
60633,Chicago,IL,41.655423,-87.55365,,DistributionCenter_9,Warehouse_3,15,4,6
60638,Chicago,IL,41.787982,-87.7738,DistributionCenter_9,DistributionCenter_9,Warehouse_3,11,2,2
60611,Chicago,IL,41.904667,-87.62504,,DistributionCenter_10,Warehouse_3,12,5,1
60605,Chicago,IL,41.860019,-87.6187,,DistributionCenter_10,Warehouse_3,11,2,1
60626,Chicago,IL,42.009731,-87.66938,DistributionCenter_10,DistributionCenter_10,Warehouse_3,17,4,5
60643,Chicago,IL,41.696433,-87.65993,,DistributionCenter_10,Warehouse_3,12,6,5
60656,Chicago,IL,41.97508,-87.8163,,DistributionCenter_10,Warehouse_3,17,2,4
60693,Chicago,IL,42.096428,-87.71791,,DistributionCenter_11,Warehouse_3,11,4,2
60670,Chicago,IL,41.811929,-87.68732,DistributionCenter_11,DistributionCenter_11,Warehouse_3,9,2,2
60601,Chicago,IL,41.886456,-87.62325,,DistributionCenter_11,Warehouse_3,12,2,1
60645,Chicago,IL,42.008956,-87.69634,,DistributionCenter_11,Warehouse_3,12,1,3
10072,New York,NY,40.780751,-73.977182,Warehouse_4,DistributionCenter_12,Warehouse_4,11,2,0
10166,New York,NY,40.754591,-73.976238,,DistributionCenter_12,Warehouse_4,15,4,2
10268,New York,NY,40.780751,-73.977182,,DistributionCenter_12,Warehouse_4,16,4,6
10012,New York,NY,40.72596,-73.99834,,DistributionCenter_12,Warehouse_4,9,0,2
10094,New York,NY,40.780751,-73.977182,,DistributionCenter_12,Warehouse_4,5,1,1
10259,New York,NY,40.780751,-73.977182,DistributionCenter_12,DistributionCenter_12,Warehouse_4,9,1,2
10039,New York,NY,40.826181,-73.9371,,DistributionCenter_12,Warehouse_4,15,4,2
10138,New York,NY,40.780751,-73.977182,,DistributionCenter_12,Warehouse_4,12,2,3
10160,New York,NY,40.780751,-73.977182,,DistributionCenter_13,Warehouse_4,18,1,1
10422,New York,NY,40.828279,-73.869454,,DistributionCenter_13,Warehouse_4,15,4,1
10149,New York,NY,40.780751,-73.977182,,DistributionCenter_13,Warehouse_4,16,3,5
10040,New York,NY,40.858704,-73.92853,,DistributionCenter_13,Warehouse_4,17,5,0
10017,New York,NY,40.752159,-73.97231,DistributionCenter_13,DistributionCenter_13,Warehouse_4,15,5,1
10099,New York,NY,40.780751,-73.977182,,DistributionCenter_13,Warehouse_4,14,3,5
10123,New York,NY,40.751489,-73.990537,,DistributionCenter_13,Warehouse_4,16,4,1
10168,New York,NY,40.751933,-73.976794,,DistributionCenter_13,Warehouse_4,12,4,3
10048,New York,NY,40.712086,-74.01227,,DistributionCenter_13,Warehouse_4,15,3,1
10121,New York,NY,40.74964,-73.991889,,DistributionCenter_13,Warehouse_4,14,1,2
10110,New York,NY,40.753987,-73.980811,,DistributionCenter_13,Warehouse_4,6,2,0
10177,New York,NY,40.755345,-73.97609,Warehouse_5,DistributionCenter_14,Warehouse_5,23,4,2
10007,New York,NY,40.714754,-74.00721,,DistributionCenter_14,Warehouse_5,16,1,5
10276,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,14,4,2
10037,New York,NY,40.813385,-73.93616,,DistributionCenter_14,Warehouse_5,6,1,1
10026,New York,NY,40.802853,-73.95471,,DistributionCenter_14,Warehouse_5,14,3,2
10250,New York,NY,40.709387,-74.016529,DistributionCenter_14,DistributionCenter_14,Warehouse_5,9,2,1
10130,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,12,3,2
10060,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,16,2,3
10102,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,19,5,6
10176,New York,NY,40.75557,-73.978877,,DistributionCenter_14,Warehouse_5,11,1,4
10118,New York,NY,40.748998,-73.986467,,DistributionCenter_14,Warehouse_5,15,1,1
10116,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,21,3,5
10081,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,17,4,3
10163,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,5,1,1
10109,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,15,1,4
10080,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5,13,4,4
10029,New York,NY,40.791586,-73.94575,,DistributionCenter_14,Warehouse_5,15,1,3
10044,New York,NY,40.762174,-73.94917,,DistributionCenter_14,Warehouse_5,20,4,4
10010,New York,NY,40.739022,-73.98205,,DistributionCenter_15,Warehouse_5,17,3,2
10119,New York,NY,40.750824,-73.99289,,DistributionCenter_15,Warehouse_5,15,2,3
10122,New York,NY,40.751757,-73.992171,,DistributionCenter_15,Warehouse_5,10,3,3
10114,New York,NY,40.780751,-73.977182,,DistributionCenter_15,Warehouse_5,6,0,1
10131,New York,NY,40.780751,-73.977182,,DistributionCenter_15,Warehouse_5,10,3,3
10011,New York,NY,40.741012,-74.00012,,DistributionCenter_15,Warehouse_5,12,4,6
10203,New York,NY,40.780751,-73.977182,DistributionCenter_15,DistributionCenter_15,Warehouse_5,13,4,2
10018,New York,NY,40.755101,-73.99337,,DistributionCenter_15,Warehouse_5,10,1,2
10016,New York,NY,40.74618,-73.97759,,DistributionCenter_16,Warehouse_5,9,2,4
10159,New York,NY,40.780751,-73.977182,,DistributionCenter_16,Warehouse_5,12,1,0
10278,New York,NY,40.715721,-74.00395,,DistributionCenter_16,Warehouse_5,7,0,1
10126,New York,NY,40.780751,-73.977182,,DistributionCenter_16,Warehouse_5,15,1,0
10281,New York,NY,40.714643,-74.014958,,DistributionCenter_16,Warehouse_5,7,0,1
10256,New York,NY,40.780751,-73.977182,,DistributionCenter_16,Warehouse_5,9,4,1
10014,New York,NY,40.734718,-74.00532,DistributionCenter_16,DistributionCenter_16,Warehouse_5,9,3,1
10106,New York,NY,40.765243,-73.980438,,DistributionCenter_17,Warehouse_5,13,2,2
10117,New York,NY,40.780751,-73.977182,,DistributionCenter_17,Warehouse_5,13,4,2
10242,New York,NY,40.780751,-73.977182,,DistributionCenter_17,Warehouse_5,13,1,3
10125,New York,NY,40.780751,-73.977182,DistributionCenter_17,DistributionCenter_17,Warehouse_5,5,1,0
10034,New York,NY,40.867653,-73.92,,DistributionCenter_17,Warehouse_5,13,5,4
10038,New York,NY,40.709677,-74.00365,,DistributionCenter_17,Warehouse_5,14,5,1
10154,New York,NY,40.757986,-73.97267,,DistributionCenter_17,Warehouse_5,15,2,4
10172,New York,NY,40.755494,-73.97447,Warehouse_6,DistributionCenter_18,Warehouse_6,10,0,2
10199,New York,NY,40.750308,-74.00058,,DistributionCenter_18,Warehouse_6,14,2,0
10292,New York,NY,40.780751,-73.977182,,DistributionCenter_18,Warehouse_6,20,6,4
10023,New York,NY,40.776099,-73.98285,,DistributionCenter_18,Warehouse_6,10,1,4
10035,New York,NY,40.802395,-73.93359,,DistributionCenter_18,Warehouse_6,16,4,3
10261,New York,NY,40.780751,-73.977182,,DistributionCenter_18,Warehouse_6,7,2,0
10013,New York,NY,40.720666,-74.00526,,DistributionCenter_18,Warehouse_6,17,5,6
10129,New York,NY,40.780751,-73.977182,,DistributionCenter_18,Warehouse_6,14,2,5
10004,New York,NJ,40.699226,-74.04118,DistributionCenter_18,DistributionCenter_18,Warehouse_6,13,1,3
