Zip,City,State,Latitude,Longitude
60651,Chicago,IL,41.901485,-87.74055
60697,Chicago,IL,41.811929,-87.68732
60667,Chicago,IL,41.811929,-87.68732
60694,Chicago,IL,41.811929,-87.68732
60684,Chicago,IL,41.811929,-87.68732
60644,Chicago,IL,41.881331,-87.75671
60668,Chicago,IL,41.811929,-87.68732
60646,Chicago,IL,41.995331,-87.7601
60654,Chicago,IL,41.888627,-87.63538
60683,Chicago,IL,41.811929,-87.68732
60616,Chicago,IL,41.8474,-87.63126
60647,Chicago,IL,41.921126,-87.70085
60606,Chicago,IL,41.882582,-87.6376
60623,Chicago,IL,41.850232,-87.718
60663,Chicago,IL,41.811929,-87.68732
60609,Chicago,IL,41.814283,-87.65282
60660,Chicago,IL,41.990631,-87.6667
60615,Chicago,IL,41.801525,-87.60215
60622,Chicago,IL,41.900332,-87.66927
60625,Chicago,IL,41.971614,-87.70256
60649,Chicago,IL,41.761734,-87.57072
60673,Chicago,IL,41.811929,-87.68732
60655,Chicago,IL,41.696283,-87.69912
60641,Chicago,IL,41.946431,-87.74576
60679,Chicago,IL,41.811929,-87.68732
60636,Chicago,IL,41.776633,-87.66854
60657,Chicago,IL,41.940832,-87.65852
60618,Chicago,IL,41.945681,-87.7048
60677,Chicago,IL,41.811929,-87.68732
60628,Chicago,IL,41.695434,-87.62255
60608,Chicago,IL,41.850532,-87.6699
60653,Chicago,IL,41.819833,-87.61269
60685,Chicago,IL,41.811929,-87.68732
60614,Chicago,IL,41.922682,-87.65432
60664,Chicago,IL,41.811929,-87.68732
60607,Chicago,IL,41.875882,-87.65114
60659,Chicago,IL,41.991381,-87.70378
60665,Chicago,IL,41.811929,-87.68732
60631,Chicago,IL,41.99623,-87.81091
60672,Chicago,IL,41.811929,-87.68732
60701,Chicago,IL,41.811929,-87.68732
60691,Chicago,IL,41.811929,-87.68732
60699,Chicago,IL,41.811929,-87.68732
60632,Chicago,IL,41.809299,-87.7105
60603,Chicago,IL,41.880446,-87.63014
60613,Chicago,IL,41.953256,-87.6629
60629,Chicago,IL,41.777482,-87.71155
60692,Chicago,IL,41.867532,-87.672553
60639,Chicago,IL,41.921431,-87.75415
60674,Chicago,IL,41.811929,-87.68732
60650,Chicago,IL,41.818682,-87.743454
60680,Chicago,IL,41.811929,-87.68732
60640,Chicago,IL,41.973181,-87.6665
60690,Chicago,IL,41.811929,-87.68732
60624,Chicago,IL,41.879365,-87.72199
60620,Chicago,IL,41.740483,-87.65282
60604,Chicago,IL,41.877589,-87.62818
60652,Chicago,IL,41.7446,-87.71188
60634,Chicago,IL,41.944454,-87.79654
60602,Chicago,IL,41.882937,-87.62874
60621,Chicago,IL,41.776983,-87.6404
60612,Chicago,IL,41.880682,-87.6877
60675,Chicago,IL,41.811929,-87.68732
60619,Chicago,IL,41.744834,-87.60444
60630,Chicago,IL,41.971044,-87.75869
60687,Chicago,IL,41.811929,-87.68732
60669,Chicago,IL,41.811929,-87.68732
60617,Chicago,IL,41.719973,-87.5557
60678,Chicago,IL,41.811929,-87.68732
60671,Chicago,IL,41.811929,-87.68732
60681,Chicago,IL,41.811929,-87.68732
60661,Chicago,IL,41.882082,-87.64461
60610,Chicago,IL,41.898582,-87.6371
60637,Chicago,IL,41.779384,-87.60544
60633,Chicago,IL,41.655423,-87.55365
60638,Chicago,IL,41.787982,-87.7738
60611,Chicago,IL,41.904667,-87.62504
60605,Chicago,IL,41.860019,-87.6187
60626,Chicago,IL,42.009731,-87.66938
60643,Chicago,IL,41.696433,-87.65993
60656,Chicago,IL,41.97508,-87.8163
60693,Chicago,IL,42.096428,-87.71791
60670,Chicago,IL,41.811929,-87.68732
60601,Chicago,IL,41.886456,-87.62325
60645,Chicago,IL,42.008956,-87.69634
10072,New York,NY,40.780751,-73.977182
10166,New York,NY,40.754591,-73.976238
10268,New York,NY,40.780751,-73.977182
10012,New York,NY,40.72596,-73.99834
10094,New York,NY,40.780751,-73.977182
10259,New York,NY,40.780751,-73.977182
10039,New York,NY,40.826181,-73.9371
10138,New York,NY,40.780751,-73.977182
10160,New York,NY,40.780751,-73.977182
10422,New York,NY,40.828279,-73.869454
10149,New York,NY,40.780751,-73.977182
10040,New York,NY,40.858704,-73.92853
10017,New York,NY,40.752159,-73.97231
10099,New York,NY,40.780751,-73.977182
10123,New York,NY,40.751489,-73.990537
10168,New York,NY,40.751933,-73.976794
10048,New York,NY,40.712086,-74.01227
10121,New York,NY,40.74964,-73.991889
10110,New York,NY,40.753987,-73.980811
10177,New York,NY,40.755345,-73.97609
10007,New York,NY,40.714754,-74.00721
10276,New York,NY,40.780751,-73.977182
10037,New York,NY,40.813385,-73.93616
10026,New York,NY,40.802853,-73.95471
10250,New York,NY,40.709387,-74.016529
10130,New York,NY,40.780751,-73.977182
10060,New York,NY,40.780751,-73.977182
10102,New York,NY,40.780751,-73.977182
10176,New York,NY,40.75557,-73.978877
10118,New York,NY,40.748998,-73.986467
10116,New York,NY,40.780751,-73.977182
10081,New York,NY,40.780751,-73.977182
10163,New York,NY,40.780751,-73.977182
10109,New York,NY,40.780751,-73.977182
10080,New York,NY,40.780751,-73.977182
10029,New York,NY,40.791586,-73.94575
10044,New York,NY,40.762174,-73.94917
10010,New York,NY,40.739022,-73.98205
10119,New York,NY,40.750824,-73.99289
10122,New York,NY,40.751757,-73.992171
10114,New York,NY,40.780751,-73.977182
10131,New York,NY,40.780751,-73.977182
10011,New York,NY,40.741012,-74.00012
10203,New York,NY,40.780751,-73.977182
10018,New York,NY,40.755101,-73.99337
10016,New York,NY,40.74618,-73.97759
10159,New York,NY,40.780751,-73.977182
